P  1 12
B  1 9 12
T  1 15 16
D  1 9 15 16
K  1 20 21
G  1 9 20 21
F  1 3 4 12 14
V  1 3 4 9 12 14
TH  1 3 4 15 16 17
DH  1 3 4 9 15 16 17
S  1 3 4 15 16 18
Z  1 3 4 9 15 16 18
CH  1 4 15 17 18
JH  1 4 9 15 17 18
SH  1 3 4 15 17 18
ZH  1 3 4 9 15 17 18
M  1 2 8 9 12 
N  1 2 8 9 15 16
NG  1 2 8 9 20 21
L  1 2 3 5 9 15 16 19
R  1 2 3 5 7 9 15 16
Y  2 3 5 9 20 21 23 25
W  2 3 5 9 12 13 20 21 24 25
HH  3 4 10 
IY  2 3 5 9 21 23 25 26
IH  2 3 5 9 21 23 26
AE  2 3 5 9 22 23 26
AA  2 3 5 9 22 24 26
AO  2 3 5 9 13 24 26
UH  2 3 5 9 13 21 24 26
UW  2 3 5 9 13 21 24 25 26
AH  2 3 5 9 24 26
EH  2 3 5 9 23 25 26
ER  2 3 5 9 15 17 
AW  2 3 5 9 13 21 22 23 24 26 27
AY  2 3 5 9 21 22 23 26 27
EY  2 3 5 9 21 23 25 26 27
OW  2 3 5 9 13 21 24 26 27
OY  2 3 5 9 13 21 23 24 26 27
